Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,sirna,source_name,SRA Study,treatment,agent
SRR13200301,RNA-Seq,100,3557378100,PRJNA682628,SAMN17004475,1015212047,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9633836,GSM4957544,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T17:04:00Z,1,GSM4957544,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200302,RNA-Seq,100,3377214300,PRJNA682628,SAMN17004510,962493176,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9633837,GSM4957545,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:58:00Z,1,GSM4957545,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200303,RNA-Seq,100,3140427100,PRJNA682628,SAMN17004509,897261496,GEO,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX9633838,GSM4957546,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:58:00Z,1,GSM4957546,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200304,RNA-Seq,100,2058539800,PRJNA682628,SAMN17004508,591881339,GEO,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX9633839,GSM4957547,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:54:00Z,1,GSM4957547,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,100 µg/ml puromycin,
SRR13200305,RNA-Seq,100,3305536000,PRJNA682628,SAMN17004507,941075122,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9633840,GSM4957548,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T17:01:00Z,1,GSM4957548,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,100 µg/ml puromycin,
SRR13200306,RNA-Seq,100,3214558300,PRJNA682628,SAMN17004506,922794152,GEO,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX9633841,GSM4957549,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:58:00Z,1,GSM4957549,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,100 µg/ml puromycin,
SRR13200307,RNA-Seq,100,2761153500,PRJNA682628,SAMN17004505,799637428,GEO,public,"fastq,sra,run.zq","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX9633842,GSM4957550,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:57:00Z,1,GSM4957550,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,25 µg/ml puromycin,
SRR13200308,RNA-Seq,100,4671480000,PRJNA682628,SAMN17004504,1343432876,GEO,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX9633843,GSM4957551,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T17:09:00Z,1,GSM4957551,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,25 µg/ml puromycin,
SRR13200309,RNA-Seq,100,2746919400,PRJNA682628,SAMN17004503,788240310,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX9633844,GSM4957552,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T17:00:00Z,1,GSM4957552,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,25 µg/ml puromycin,
SRR13200310,RNA-Seq,100,2537173300,PRJNA682628,SAMN17004502,733759106,GEO,public,"fastq,sra,run.zq","ncbi,s3,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX9633845,GSM4957553,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:58:00Z,1,GSM4957553,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,50 µg/ml puromycin,
SRR13200311,RNA-Seq,100,5058653700,PRJNA682628,SAMN17004501,1436140239,GEO,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX9633846,GSM4957554,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T17:12:00Z,1,GSM4957554,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,50 µg/ml puromycin,
SRR13200312,RNA-Seq,100,2906307200,PRJNA682628,SAMN17004500,826315928,GEO,public,"run.zq,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX9633847,GSM4957555,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T16:59:00Z,1,GSM4957555,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,50 µg/ml puromycin,
SRR13200313,RNA-Seq,100,3547180100,PRJNA682628,SAMN17004499,1010530371,GEO,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX9633848,GSM4957556,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T17:04:00Z,1,GSM4957556,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,vehicle control,
SRR13200314,RNA-Seq,100,3043368400,PRJNA682628,SAMN17004498,872066780,GEO,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX9633849,GSM4957557,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2022-04-08T00:00:00Z,2020-12-04T17:00:00Z,1,GSM4957557,UPF1LL-specific siRNA,HEK-293 cells,SRP295982,vehicle control,
