GSE_ID	Sample_ID	evidence_type	field_raw	value
GSE232185	GSM7317571	tissue_field	source_name_ch1	xenograft subcutaneous tumor
GSE232185	GSM7317571	tissue_field	tissue	xenograft subcutaneous tumor
GSE232185	GSM7317571	tissue_field	cell.line	HT1080
GSE232185	GSM7317571	tissue_field	cell.type	fibrosarcoma
GSE232185	GSM7317572	control_term	genotype	WT
GSE232185	GSM7317572	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232185	GSM7317572	perturbation_mechanism	extract_protocol_ch12	Libraries were prepared with the Illumina TruSeq Stranded Total RNA library kit, including rRNA depletion.
GSE232185	GSM7317572	perturbation_mechanism	growth_protocol_ch1	HT1080, SMG7KO and RESCUE cells were maintained in DMEM supplemented with 10% fetal calf serum (FCS) and antibiotics in humidified atmosphere with 5% CO2 at 37 °C
GSE232185	GSM7317572	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232185	GSM7317572	tissue_field	source_name_ch1	xenograft subcutaneous tumor
GSE232185	GSM7317572	tissue_field	tissue	xenograft subcutaneous tumor
GSE232185	GSM7317572	tissue_field	cell.line	HT1080
GSE232185	GSM7317572	tissue_field	cell.type	fibrosarcoma
GSE232185	GSM7317573	control_term	genotype	WT
GSE232185	GSM7317573	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232185	GSM7317573	perturbation_mechanism	extract_protocol_ch12	Libraries were prepared with the Illumina TruSeq Stranded Total RNA library kit, including rRNA depletion.
GSE232185	GSM7317573	perturbation_mechanism	growth_protocol_ch1	HT1080, SMG7KO and RESCUE cells were maintained in DMEM supplemented with 10% fetal calf serum (FCS) and antibiotics in humidified atmosphere with 5% CO2 at 37 °C
GSE232185	GSM7317573	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232185	GSM7317573	tissue_field	source_name_ch1	xenograft subcutaneous tumor
GSE232185	GSM7317573	tissue_field	tissue	xenograft subcutaneous tumor
GSE232185	GSM7317573	tissue_field	cell.line	HT1080
GSE232185	GSM7317573	tissue_field	cell.type	fibrosarcoma
GSE232333	GSM7328760	control_term	genotype	WT
GSE232333	GSM7328760	explicit_nmd_term	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328760	perturbation_mechanism	extract_protocol_ch12	The library was prepared with the Illumina TruSeq Stranded Total RNA Library Prep Kit (chemistry v3), which also includes a ribo-zero depletion step
GSE232333	GSM7328760	perturbation_mechanism	GSE_Title	Inhibition of nonsense-mediated mRNA decay reduces the tumorigenicity of human fibrosarcoma cells
GSE232333	GSM7328760	tissue_field	source_name_ch1	HT1080
