Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[genotype]	Characteristics[replicate]	Characteristics[sex]	Characteristics[spike in]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Performer	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[genotype]	Factor Value[RNA interference]
Sample 11	ERS4811070	SAMEA7050440	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	2	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 11	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2711	213	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 11	sequencing assay	ERX4277503	SMG7KO_2_SMG5KD_S99_L002_R1_001.fastq.gz	SMG7KO_2_SMG5KD_S99_L002_R1_001.fastq.gz	ERR4330669	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/009/ERR4330669/ERR4330669_1.fastq.gz	SMG7 knockout clone 2	SMG5 knockdown by siRNA
Sample 11	ERS4811070	SAMEA7050440	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	2	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 11	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2711	213	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 11	sequencing assay	ERX4277503	SMG7KO_2_SMG5KD_S99_L002_R2_001.fastq.gz	SMG7KO_2_SMG5KD_S99_L002_R2_001.fastq.gz	ERR4330669	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/009/ERR4330669/ERR4330669_2.fastq.gz	SMG7 knockout clone 2	SMG5 knockdown by siRNA
Sample 12	ERS4811071	SAMEA7050441	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	3	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 12	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2642	202	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 12	sequencing assay	ERX4277504	SMG7KO_2_SMG5KD_S100_L002_R1_001.fastq.gz	SMG7KO_2_SMG5KD_S100_L002_R1_001.fastq.gz	ERR4330670	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/000/ERR4330670/ERR4330670_1.fastq.gz	SMG7 knockout clone 2	SMG5 knockdown by siRNA
Sample 12	ERS4811071	SAMEA7050441	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	3	female	SIRV-Set 1 E1	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 12	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2642	202	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 12	sequencing assay	ERX4277504	SMG7KO_2_SMG5KD_S100_L002_R2_001.fastq.gz	SMG7KO_2_SMG5KD_S100_L002_R2_001.fastq.gz	ERR4330670	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/000/ERR4330670/ERR4330670_2.fastq.gz	SMG7 knockout clone 2	SMG5 knockdown by siRNA
Sample 13	ERS4811072	SAMEA7050442	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	1	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 13	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2649	207	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 13	sequencing assay	ERX4277505	SMG7KO_2_SMG6KD_S101_L002_R1_001.fastq.gz	SMG7KO_2_SMG6KD_S101_L002_R1_001.fastq.gz	ERR4330671	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/001/ERR4330671/ERR4330671_1.fastq.gz	SMG7 knockout clone 2	SMG6 knockdown by siRNA
Sample 13	ERS4811072	SAMEA7050442	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	1	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 13	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2649	207	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 13	sequencing assay	ERX4277505	SMG7KO_2_SMG6KD_S101_L002_R2_001.fastq.gz	SMG7KO_2_SMG6KD_S101_L002_R2_001.fastq.gz	ERR4330671	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/001/ERR4330671/ERR4330671_2.fastq.gz	SMG7 knockout clone 2	SMG6 knockdown by siRNA
Sample 14	ERS4811073	SAMEA7050443	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	2	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 14	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2802	202	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 14	sequencing assay	ERX4277506	SMG7KO_2_SMG6KD_S102_L002_R1_001.fastq.gz	SMG7KO_2_SMG6KD_S102_L002_R1_001.fastq.gz	ERR4330672	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/002/ERR4330672/ERR4330672_1.fastq.gz	SMG7 knockout clone 2	SMG6 knockdown by siRNA
Sample 14	ERS4811073	SAMEA7050443	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	2	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 14	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2802	202	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 14	sequencing assay	ERX4277506	SMG7KO_2_SMG6KD_S102_L002_R2_001.fastq.gz	SMG7KO_2_SMG6KD_S102_L002_R2_001.fastq.gz	ERR4330672	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/002/ERR4330672/ERR4330672_2.fastq.gz	SMG7 knockout clone 2	SMG6 knockdown by siRNA
Sample 15	ERS4811074	SAMEA7050444	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	3	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 15	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2679	193	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 15	sequencing assay	ERX4277507	SMG7KO_2_SMG6KD_S103_L002_R1_001.fastq.gz	SMG7KO_2_SMG6KD_S103_L002_R1_001.fastq.gz	ERR4330673	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/003/ERR4330673/ERR4330673_1.fastq.gz	SMG7 knockout clone 2	SMG6 knockdown by siRNA
Sample 15	ERS4811074	SAMEA7050444	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 2	3	female	SIRV-Set 1 E2	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 15	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2679	193	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 15	sequencing assay	ERX4277507	SMG7KO_2_SMG6KD_S103_L002_R2_001.fastq.gz	SMG7KO_2_SMG6KD_S103_L002_R2_001.fastq.gz	ERR4330673	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/003/ERR4330673/ERR4330673_2.fastq.gz	SMG7 knockout clone 2	SMG6 knockdown by siRNA
Sample 16	ERS4811075	SAMEA7050445	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	1	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 16	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2441	203	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 16	sequencing assay	ERX4277508	SMG7KO_34_S104_L002_R1_001.fastq.gz	SMG7KO_34_S104_L002_R1_001.fastq.gz	ERR4330674	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/004/ERR4330674/ERR4330674_1.fastq.gz	SMG7 knockout clone 34	Luciferase siRNA
Sample 16	ERS4811075	SAMEA7050445	Homo sapiens	Flp-In-T-REx-293	late embryo	kidney	epithelial cell	SMG7 knockout clone 34	1	female	SIRV-Set 1 E0	cell	P-MTAB-98929	P-MTAB-98933	P-MTAB-98930	P-MTAB-98931	Cologne Center for Genomics (CCG)	Sample 16	RNA	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	RNA-Seq	2441	203	P-MTAB-98932	Cologne Center for Genomics (CCG)	Sample 16	sequencing assay	ERX4277508	SMG7KO_34_S104_L002_R2_001.fastq.gz	SMG7KO_34_S104_L002_R2_001.fastq.gz	ERR4330674	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR433/004/ERR4330674/ERR4330674_2.fastq.gz	SMG7 knockout clone 34	Luciferase siRNA
